28	2385
58	2367
43	2338
76	2335
97	2333
83	2331
30	2331
27	2330
91	2323
16	2323
10	2308
29	2306
19	2305
63	2301
75	2299
98	2296
84	2292
52	2292
17	2292
46	2291
26	2291
55	2290
11	2290
25	2289
88	2287
6	2287
64	2281
94	2280
93	2280
8	2280
24	2277
22	2276
14	2273
5	2272
96	2271
77	2271
62	2271
0	2271
95	2270
66	2269
69	2268
89	2267
45	2267
72	2265
70	2264
86	2263
54	2263
32	2262
9	2259
49	2259
57	2257
90	2256
82	2253
50	2253
31	2253
4	2252
20	2252
61	2251
59	2251
47	2251
34	2251
21	2251
18	2248
41	2247
68	2246
92	2243
48	2242
40	2242
51	2238
60	2237
3	2235
80	2234
65	2233
67	2231
79	2229
42	2229
36	2229
85	2227
37	2227
56	2226
38	2223
13	2223
74	2221
71	2221
35	2221
53	2216
44	2215
15	2214
12	2214
1	2214
78	2212
笑	2211
73	2211
87	2207
23	2194
39	2193
2	2189
7	2183
81	2158
33	2146
